tenure_months,monthly_charge,support_calls,plan,contract,churned
31,38.96,1,plus,yearly,0
17,63.03,1,plus,yearly,0
30,36.98,1,premium,monthly,0
1,,0,basic,monthly,1
50,110.81,2,basic,yearly,0
17,51.2,1,plus,yearly,0
60,75.65,1,plus,monthly,0
52,47.57,1,basic,monthly,0
24,,1,basic,monthly,0
33,39.1,0,basic,monthly,0
48,106.37,0,basic,yearly,0
30,129.06,1,basic,monthly,0
15,82.08,0,basic,yearly,0
4,52.09,1,basic,yearly,0
40,87.62,2,basic,monthly,0
38,61.64,3,basic,yearly,0
55,90.03,1,basic,yearly,0
10,77.27,1,basic,monthly,1
5,76.99,1,plus,monthly,0
53,85.18,1,plus,monthly,0
52,55.51,2,plus,monthly,0
57,59.89,1,basic,yearly,0
2,26.97,1,basic,yearly,0
47,58.95,0,basic,yearly,0
69,34.44,1,basic,monthly,1
55,66.38,0,premium,monthly,0
34,46.06,0,premium,yearly,0
34,72.53,2,plus,monthly,0
30,81.33,3,plus,monthly,0
4,34.5,1,plus,yearly,1
52,49.67,3,premium,monthly,0
39,,0,basic,monthly,0
38,88.66,0,premium,monthly,0
67,112.66,2,plus,monthly,1
52,91.29,0,basic,monthly,0
69,61.26,0,basic,monthly,0
7,106.63,1,basic,yearly,0
68,32.15,2,plus,yearly,0
40,107.48,1,premium,yearly,0
29,53.59,1,plus,yearly,0
40,15.0,1,basic,monthly,0
3,136.27,0,basic,monthly,1
67,109.45,1,basic,yearly,0
45,44.2,1,basic,monthly,0
3,74.23,1,basic,monthly,1
65,64.64,1,plus,monthly,0
33,72.56,2,basic,monthly,0
9,32.92,0,plus,monthly,0
45,52.96,1,basic,yearly,0
5,81.7,0,premium,yearly,0
40,75.57,3,plus,monthly,1
55,99.98,1,basic,monthly,0
6,71.99,0,plus,yearly,0
57,128.73,2,basic,monthly,1
43,52.11,1,basic,monthly,0
24,76.48,0,basic,monthly,0
16,22.09,2,basic,yearly,0
1,38.67,2,basic,yearly,1
14,103.21,3,basic,monthly,1
21,46.43,1,basic,yearly,0
63,83.27,2,premium,monthly,0
37,68.46,1,basic,monthly,0
15,43.89,4,basic,yearly,0
53,61.29,1,basic,monthly,0
33,57.14,2,basic,monthly,0
60,57.82,1,basic,yearly,0
54,88.84,0,basic,monthly,0
67,86.31,1,plus,yearly,1
51,,3,plus,monthly,0
8,47.32,2,basic,monthly,1
40,77.06,1,plus,yearly,0
31,67.5,1,plus,yearly,0
58,95.71,1,basic,yearly,0
11,136.38,2,basic,monthly,0
34,91.07,2,plus,monthly,0
59,69.13,2,basic,monthly,0
45,65.7,0,premium,monthly,0
3,48.58,0,basic,yearly,0
59,47.33,2,plus,monthly,0
27,44.91,0,basic,yearly,0
49,60.12,0,basic,monthly,0
47,,2,premium,yearly,0
46,88.59,0,basic,monthly,0
30,60.03,1,plus,monthly,0
29,65.06,3,premium,yearly,0
8,39.54,3,premium,monthly,1
40,111.11,0,basic,yearly,0
21,82.67,0,basic,yearly,0
29,114.72,1,basic,monthly,1
12,89.92,2,basic,monthly,0
53,107.24,2,premium,monthly,0
66,63.79,0,plus,yearly,0
28,87.93,3,basic,monthly,0
31,137.64,2,basic,monthly,0
34,39.41,0,plus,monthly,0
6,99.41,0,plus,yearly,0
54,112.45,0,basic,yearly,0
63,80.53,1,plus,monthly,0
36,89.13,1,basic,monthly,0
5,101.99,2,basic,yearly,1
25,53.24,0,basic,monthly,0
12,80.44,0,premium,yearly,0
59,47.8,1,basic,yearly,0
57,52.72,2,plus,yearly,0
28,54.21,1,basic,yearly,0
27,66.34,5,basic,monthly,1
60,73.74,1,plus,yearly,0
7,81.58,2,plus,yearly,1
56,33.73,0,premium,monthly,0
69,,1,basic,monthly,1
32,99.59,1,basic,yearly,0
54,88.59,1,basic,monthly,0
51,60.84,1,basic,monthly,0
64,67.72,1,premium,monthly,0
3,,2,basic,yearly,1
51,80.54,1,basic,monthly,0
28,26.97,0,plus,monthly,0
62,88.98,1,plus,yearly,0
62,144.71,1,basic,yearly,0
21,22.67,2,basic,yearly,0
42,95.49,1,plus,yearly,0
36,79.46,1,basic,yearly,0
40,67.14,1,premium,monthly,0
60,105.18,0,basic,yearly,0
48,,2,basic,yearly,0
54,74.18,1,plus,monthly,0
49,107.55,1,premium,monthly,0
18,64.95,1,basic,yearly,0
42,59.27,2,basic,monthly,0
27,72.95,2,basic,yearly,0
30,58.58,1,basic,monthly,0
8,109.73,2,basic,monthly,1
14,46.7,1,premium,monthly,0
25,,1,premium,monthly,0
21,37.83,5,basic,monthly,0
46,87.19,1,premium,monthly,0
21,67.31,0,basic,yearly,0
18,15.0,1,plus,monthly,0
31,69.85,3,basic,monthly,0
41,42.58,1,basic,yearly,0
71,58.58,1,basic,monthly,0
37,109.54,1,basic,monthly,0
26,41.29,0,premium,yearly,0
23,42.75,2,basic,monthly,0
32,107.02,0,basic,monthly,0
66,72.98,1,basic,yearly,0
27,109.62,1,plus,yearly,0
18,78.32,1,basic,yearly,0
42,47.32,5,basic,monthly,0
55,68.3,1,basic,monthly,0
68,101.6,0,premium,monthly,0
20,94.19,0,basic,monthly,0
64,70.02,0,basic,monthly,1
61,71.25,0,plus,monthly,0
27,67.11,0,basic,monthly,0
24,55.13,1,plus,monthly,0
19,119.65,0,premium,monthly,0
23,70.18,1,plus,monthly,0
63,40.93,1,plus,monthly,0
23,57.74,1,premium,yearly,1
36,88.67,2,plus,monthly,0
67,86.49,1,basic,yearly,0
49,66.48,0,premium,monthly,0
10,52.82,0,premium,monthly,0
6,70.61,2,plus,yearly,1
16,26.98,2,basic,yearly,1
62,36.54,2,basic,yearly,0
17,90.53,0,basic,monthly,0
23,57.68,1,basic,yearly,0
39,79.64,1,plus,monthly,0
36,101.31,3,basic,monthly,0
6,86.7,1,premium,monthly,1
15,70.53,1,plus,monthly,0
71,124.7,1,plus,monthly,0
30,87.16,1,premium,monthly,0
20,60.89,0,basic,monthly,0
59,88.82,0,plus,monthly,0
34,80.48,1,basic,monthly,0
59,48.0,3,basic,monthly,0
12,71.88,2,plus,monthly,1
34,65.76,1,basic,monthly,0
58,19.46,4,premium,monthly,1
55,65.57,1,premium,monthly,0
49,62.72,1,premium,monthly,1
33,58.73,1,basic,monthly,0
59,27.72,0,basic,yearly,0
27,60.88,2,basic,yearly,0
47,68.98,2,basic,monthly,0
39,,2,basic,monthly,0
22,40.82,2,plus,monthly,1
15,86.26,0,premium,monthly,0
38,38.76,1,plus,yearly,0
23,64.25,3,premium,yearly,0
37,103.54,1,basic,yearly,1
51,52.21,2,premium,yearly,0
57,56.87,0,premium,monthly,0
55,97.58,2,plus,monthly,1
37,60.13,1,premium,monthly,0
5,62.37,1,plus,monthly,0
13,75.68,1,plus,monthly,0
53,,2,basic,monthly,0
43,,2,basic,yearly,0
59,48.72,0,basic,monthly,0
35,44.13,2,premium,monthly,0
32,42.14,0,basic,monthly,0
18,48.06,1,plus,monthly,0
5,48.46,2,basic,monthly,1
11,77.73,2,plus,monthly,0
49,47.2,1,premium,yearly,0
42,73.14,0,plus,monthly,0
18,,1,basic,monthly,0
26,51.3,3,plus,monthly,0
46,73.35,3,basic,monthly,0
28,111.94,1,premium,monthly,0
27,78.25,1,basic,monthly,1
20,53.68,2,basic,monthly,0
46,68.34,1,premium,monthly,0
64,46.55,0,premium,monthly,0
19,76.93,2,premium,monthly,0
21,92.06,3,plus,yearly,0
34,49.05,1,plus,monthly,0
14,64.65,2,premium,monthly,0
38,98.43,0,plus,yearly,0
63,57.29,2,basic,monthly,0
45,74.8,2,basic,monthly,0
12,43.85,1,basic,monthly,0
15,49.08,1,basic,monthly,0
6,56.91,2,basic,monthly,0
69,124.41,1,basic,monthly,0
25,59.77,0,plus,yearly,0
21,56.75,0,premium,monthly,0
61,55.92,1,basic,monthly,0
22,65.86,4,basic,monthly,0
17,86.4,0,premium,yearly,0
19,74.74,1,premium,monthly,0
29,121.45,0,premium,monthly,0
5,75.34,3,basic,monthly,1
46,,2,plus,monthly,1
31,76.92,0,plus,monthly,0
69,85.14,0,plus,yearly,0
55,33.91,2,basic,monthly,1
28,66.82,1,premium,yearly,0
51,68.28,1,plus,monthly,0
58,63.93,1,basic,yearly,0
14,16.18,4,basic,monthly,0
12,92.02,1,plus,yearly,0
10,60.32,1,basic,monthly,1
4,59.05,1,plus,monthly,0
23,63.62,0,basic,yearly,0
57,64.3,3,basic,yearly,1
55,80.18,0,basic,monthly,0
27,38.22,1,basic,yearly,0
35,46.72,1,premium,yearly,0
55,,0,basic,yearly,0
66,73.64,2,plus,monthly,0
20,60.58,2,premium,yearly,0
47,55.65,0,basic,yearly,0
43,49.14,1,basic,yearly,0
45,68.54,1,plus,monthly,0
57,99.52,1,basic,monthly,1
55,43.55,2,premium,yearly,0
29,108.08,0,basic,yearly,0
54,91.1,1,plus,monthly,1
4,58.68,1,basic,monthly,1
25,89.58,0,basic,yearly,0
16,33.35,0,basic,yearly,0
19,26.71,0,premium,monthly,0
65,37.76,1,plus,monthly,0
32,59.76,2,plus,monthly,0
6,61.86,2,basic,monthly,1
35,57.12,2,basic,monthly,1
5,72.49,1,premium,yearly,0
11,16.62,1,plus,monthly,0
28,82.38,2,plus,monthly,0
32,34.52,2,plus,yearly,0
17,53.48,1,basic,monthly,0
46,59.68,1,premium,monthly,0
36,41.09,1,basic,yearly,0
10,35.73,0,basic,yearly,0
59,44.85,3,plus,monthly,1
10,69.7,1,basic,yearly,0
26,84.75,1,plus,monthly,0
13,84.11,0,plus,monthly,0
67,45.14,1,basic,yearly,1
21,50.21,3,plus,monthly,0
62,46.98,0,basic,monthly,0
69,81.25,1,basic,monthly,0
16,19.06,0,basic,monthly,0
2,100.96,1,basic,monthly,1
1,57.88,0,basic,monthly,0
14,50.41,2,basic,yearly,0
29,78.49,1,basic,monthly,0
12,95.82,1,plus,monthly,1
68,,0,plus,monthly,0
34,96.32,1,basic,monthly,0
61,73.36,3,plus,monthly,0
2,100.74,1,plus,yearly,1
10,101.13,0,plus,yearly,1
33,67.51,0,plus,yearly,0
12,105.98,0,basic,yearly,0
12,74.12,1,premium,yearly,0
2,72.17,3,plus,monthly,0
20,46.96,3,basic,yearly,1
55,62.78,1,plus,yearly,0
57,,1,plus,yearly,0
37,37.18,0,plus,monthly,0
14,86.24,1,basic,monthly,1
32,78.72,1,plus,monthly,0
44,76.94,2,plus,monthly,0
11,15.0,1,plus,yearly,0
29,67.42,1,basic,monthly,1
59,86.21,2,basic,monthly,0
30,50.93,1,premium,monthly,0
34,72.26,2,basic,monthly,0
58,15.0,1,plus,monthly,0
48,86.78,1,basic,monthly,0
12,,2,plus,yearly,0
44,91.78,1,plus,yearly,0
66,23.93,3,plus,yearly,0
16,87.31,2,premium,monthly,0
64,64.08,0,basic,monthly,0
42,90.19,0,basic,yearly,0
48,46.86,2,basic,monthly,0
24,54.54,2,basic,monthly,0
4,126.06,2,basic,monthly,1
2,49.25,3,premium,yearly,0
48,52.35,0,plus,yearly,0
70,63.09,4,plus,yearly,0
43,44.44,4,plus,monthly,0
26,99.76,2,basic,yearly,0
55,113.13,2,basic,monthly,1
68,52.4,3,plus,monthly,0
16,26.85,3,basic,monthly,0
8,99.3,0,basic,yearly,0
68,97.71,1,plus,monthly,0
4,90.54,3,plus,monthly,1
63,98.91,3,basic,monthly,0
11,48.31,2,basic,monthly,1
9,65.79,3,premium,yearly,1
20,35.4,2,basic,monthly,0
23,,3,basic,monthly,1
24,94.53,2,plus,monthly,0
3,53.2,1,plus,monthly,0
61,126.99,4,premium,yearly,0
59,71.85,0,basic,monthly,0
49,53.99,1,plus,monthly,1
65,89.95,0,basic,monthly,0
67,,0,basic,yearly,0
71,82.15,3,basic,monthly,1
27,39.57,3,basic,monthly,0
44,79.28,1,basic,monthly,0
55,104.39,3,basic,yearly,0
48,57.67,0,plus,yearly,0
57,50.66,2,plus,monthly,0
49,95.41,0,basic,monthly,0
28,73.5,0,basic,monthly,0
41,42.44,1,plus,monthly,1
15,60.51,0,basic,yearly,0
68,51.11,0,basic,yearly,0
64,77.41,0,premium,yearly,0
44,72.74,1,plus,monthly,1
55,98.76,0,plus,monthly,0
24,87.74,3,plus,yearly,0
28,30.91,0,basic,monthly,1
37,80.17,1,basic,monthly,0
19,92.42,1,plus,monthly,0
2,81.4,3,plus,yearly,0
29,95.75,1,premium,monthly,0
52,56.26,2,basic,yearly,0
19,46.23,0,basic,yearly,0
50,,1,basic,yearly,0
43,43.36,0,basic,monthly,0
30,16.01,2,basic,monthly,0
